87,Radioactive,Imagine Dragons
79,Sail,AWOLNATION
76,I'm Yours,Jason Mraz
69,How Do I Live,LeAnn Rimes
68,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
68,Counting Stars,OneRepublic
65,Blinding Lights,The Weeknd
65,Foolish Games/You Were Meant For Me,Jewel
65,Rolling In The Deep,Adele
64,Before He Cheats,Carrie Underwood
62,I Hope,Gabby Barrett Featuring Charlie Puth
62,Ho Hey,The Lumineers
62,You And Me,Lifehouse
61,Circles,Post Malone
61,Demons,Imagine Dragons
60,Need You Now,Lady Antebellum
60,Macarena (Bayside Boys Mix),Los Del Rio
59,Somebody That I Used To Know,Gotye Featuring Kimbra
59,All Of Me,John Legend
58,Shape Of You,Ed Sheeran
